Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese,portuguese,chinesesimp
area_leave,You left radiation zone.,You left radiation zone.,Opustil si radiační zónu.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.,You left radiation zone.
area_enter,Beware you are in radiation zone!,Beware you are in radiation zone!,Pozor jsi v radiační zóně!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!,Beware you are in radiation zone!
measure_persons_radiation,Measure Radiation,Measure Radiation,Measure Radiation,Radioaktivität messen,Измерить радиацию,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation,Measure Radiation
removeseal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Filter-Siegel entfernen,Снимите уплотнение фильтра,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal,Remove Filter Seal
STR_GeigerCounter_Low,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geigerzähler RZ725,счетчик Гейгера RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725,Geiger counter RZ725
STR_DSC_GeigerCounter_Low,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,Dieser Geigerzähler kann niedrige Strahlungswerte in der Umgebung messen.,Этот счетчик Гейгера может измерять низкий уровень радиации в этом районе.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.,This geiger counter can measure low radiation levels in the area.
STR_GeigerCounter_Middle,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geigerzähler BR-10A,счетчик Гейгера BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A,Geiger counter BR-10A
STR_DSC_GeigerCounter_Middle,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,Dieser Geigerzähler kann höhere Strahlungswerte in der Umgebung und im Blut einer Person messen.,Этот счетчик Гейгера может измерять более высокие уровни радиации в окружающей среде и в крови человека.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.,This geiger counter can measure higher radiation levels in the area and in a person's blood.
STR_GeigerCounter_High,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geigerzähler CD VF-815,счетчик Гейгера CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815,Geiger counter CD VF-815
STR_DSC_GeigerCounter_High,"This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.",Dieser Geigerzähler kann höhere und genauere Strahlungswerte in der Umgebung und im Blut einer Person messen.,Этот счетчик Гейгера может измерять более высокие уровни радиации в окружающей среде и в крови человека.,"This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood.","This geiger counter can measure, more precisely, higher radiation levels in the area and in a person's blood."
STR_GasMask_P2,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2-Gas-Maske,П-2 противогаз,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask,P-2 Gas mask
STR_DSC_GasMask_P2,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,"Eine Gasmaske zum Schutz vor Strahlung und gefährlichem Gas. Bringen Sie einen Filter an, damit sie funktioniert.","Противогаз для защиты от радиации и опасного газа. Прикрепите фильтр, чтобы он заработал.",A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.
STR_GasMask_GP5,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5-Gas-Maske,ГП-5 противогаз,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask,GP-5 Gas mask
STR_DSC_GasMask_GP5,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,"Eine Gasmaske zum Schutz vor Strahlung und gefährlichem Gas. Bringen Sie einen Filter an, damit sie funktioniert.","Противогаз для защиты от радиации и опасного газа. Прикрепите фильтр, чтобы он заработал.",A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.
STR_GasMask_GP7,GP-7VM,GP-7VM,GP-7VM,GP-7VM-Gas-Maske,ГП-7ВМ противогаз,GP-7VM,GP-7VM,GP-7VM,GP-7VM,GP-7VM,GP-7VM,GP-7VM,GP-7VM,GP-7VM
STR_DSC_GasMask_GP7,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,"Eine Gasmaske zum Schutz vor Strahlung und gefährlichem Gas. Bringen Sie einen Filter an, damit sie funktioniert.","Противогаз для защиты от радиации и опасного газа. Прикрепите фильтр, чтобы он заработал.",A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.,A Gas mask to protect from radiation and dangerous gas. Attach a filter to make it work.
STR_GasMask_P2_Filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2-Gas-Masken Filter,П-2 противогаз фильтр,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter,P-2 Gas mask filter
STR_DSC_GasMask_P2_Filter,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,"Maskenfilter, der an eine P-2-Gas-Maske angeschlossen werden kann. Ein voller Filter bietet eine Betriebsdauer von 20 Minuten.","фильтр, который можно подключить к противогазу П-2. Полного фильтра хватит на 20 минут.",Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a P2 Gas Mask. A full filter provide 20 min of use.
STR_GasMask_GP5_Filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5-Gas-Masken Filter,ГП-5 противогаз фильтр,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter,GP-5 Gas mask filter
STR_DSC_GasMask_GP5_Filter,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,"Maskenfilter, der an eine GP-5-Gas-Maske angeschlossen werden kann. Ein voller Filter bietet eine Betriebsdauer von 20 Minuten.","фильтр, который можно подключить к противогазу ГП-5. Полного фильтра хватит на 20 минут.",Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.,Mask filter that can be attached to a GP5 Gas Mask. A full filter provide 20 min of use.
STR_GasMask_GP7_Filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM-Gas-Masken Filter,ГП-7ВМ противогаз фильтр,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter,GP-7VM Gas mask filter
STR_DSC_GasMask_GP7_Filter,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,"Maskenfilter, der an eine GP-7VM-Gas-Maske angeschlossen werden kann. Ein voller Filter bietet eine Betriebsdauer von 60 Minuten.","фильтр, который можно подключить к противогазу ГП-7ВМ. Полного фильтра хватит на 60 минут.",Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.,Mask filter that can be attached to a GP7 Gas Mask. A full filter provide 60 min of use.